Date,TotalChanges
2021/04/02,138
2021/03/28,236
2021/03/17,24
2021/03/17,16
2021/03/16,20
2021/03/12,58
2021/03/12,8
2021/03/12,212
2021/03/09,18
2021/03/09,8
2021/03/09,12
2021/03/08,100
2021/03/04,10
2021/03/04,52
2021/03/04,126
2021/03/04,8
2021/03/04,26
2021/03/04,96
2021/03/01,672
